I'm fine | [aɪm] [faɪn] | У меня всё хорошо
Does that student make mistakes? | [dʌz] [ðæt] [ˈstjuːdənt] [meɪk] [mɪsˈteɪks]? | Тот студент делает ошибки?
Do those students speak English correctly? | [duː] [ðəʊz] [ˈstjuːdənts] [spiːk] [ˈɪŋglɪʃ] [kəˈrɛktli]? | Те студенты говорят по-английски правильно?
Does this student show brilliant results? | [dʌz] [ðɪs] [ˈstjuːdənt] [ʃəʊ] [ˈbrɪljənt] [rɪˈzʌlts]? | Этот студент показывает блестящие результаты?
Do these students show excellent results? | [duː] [ðiːz] [ˈstjuːdənts] [ʃəʊ] [ˈɛksələnt] [rɪˈzʌlts]? | Эти студенты показывают отличные результаты?
Does their boss know all the truth? | [dʌz] [ðeə] [bɒs] [nəʊ] [ɔːl] [ðə] [truːθ]? | Их босс знает всю правду?
Does his girlfriend understand it? | [dʌz] [hɪz] [ˈgɜːlˌfrɛnd] [ˌʌndəˈstænd] [ɪt]? | Его девушка понимает это?
Does that test seem very easy? | [dʌz] [ðæt] [tɛst] [siːm] [ˈvɛri] [ˈiːzi]? | Тот тест кажется слишком лёгким?
Does this exam seem very difficult? | [dʌz] [ðɪs] [ɪgˈzæm] [siːm] [ˈvɛri] [ˈdɪfɪkəlt]? | Этот экзамен кажется очень сложным?
Do these things seem unimportant? | [duː] [ðiːz] [θɪŋz] [siːm] [ˌʌnɪmˈpɒtənt]? | Эти вещи кажутся неважными?
Does this thing seem important? | [dʌz] [ðɪs] [θɪŋ] [siːm] [ɪmˈpɔːtənt]? | Эта вещь кажется важной?
Does this information seem useless? | [dʌz] [ðɪs] [ˌɪnfəˈmeɪʃən] [siːm] [ˈjuːslɪs]? | Эта информация кажется бесполезной?
Does this teacher explain everything very well? | [dʌz] [ðɪs] [ˈtiːʧər] [ɪksˈpleɪn] [ˈɛvrɪθɪŋ] [ˈvɛri] [wɛl]? | Этот учитель объясняет всё очень хорошо?
Does this channel seem very interesting? | [dʌz] [ðɪs] [ˈʧænl] [siːm] [ˈvɛri] [ˈɪntrɪstɪŋ]? | Это канал кажется очень интересным?
Do these lessons help you? | [duː] [ðiːz] [ˈlɛsnz] [hɛlp] [juː]? | Эти уроки помогают тебе?
Does this lesson seem useful? | [dʌz] [ðɪs] [ˈlɛsn] [siːm] [ˈjuːsfʊl]? | Этот урок кажется полезным?
Does it seem boring? | [dʌz] [ɪt] [siːm] [ˈbɔːrɪŋ]? | Это кажется скучным?
Does it seem interesting? | [dʌz] [ɪt] [siːm] [ˈɪntrɪstɪŋ]? | Это кажется интересным?
Does it look strange? | [dʌz] [ɪt] [lʊk] [streɪnʤ]? | Это выглядит странным?
Does she like this profession? | [dʌz] [ʃiː] [laɪk] [ðɪs] [prəˈfɛʃən]? | Ей нравится эта профессия?
Does he like this project? | [dʌz] [hiː] [laɪk] [ðɪs] [ˈprɒʤɛkt]? | Ему нравится этот проект?
Does he like it? | [dʌz] [hiː] [laɪk] [ɪt]? | Ему нравится это?
Does she often use it? | [dʌz] [ʃiː] [ˈɒf(ə)n] [juːz] [ɪt]? | Он часто пользуется этим?
Does it often happen? | [dʌz] [ɪt] [ˈɒf(ə)n] [ˈhæpən]? | Это часто происходит?
Does it sometimes happen? | [dʌz] [ɪt] [ˈsʌmtaɪmz] [ˈhæpən]? | Это иногда случается?
Does he often watch TV? | [dʌz] [hiː] [ˈɒf(ə)n] [wɒʧ] [ˌtiːˈviː]? | Он часто смотрит телевизор?
Does she often listen to the radio? | [dʌz] [ʃiː] [ˈɒf(ə)n] [ˈlɪsn] [tuː] [ðə] [ˈreɪdɪəʊ]? | Он часто слушает радио?
Does he often hear it? | [dʌz] [hiː] [ˈɒf(ə)n] [hɪər] [ɪt]? | Он часто слышит это?
Does she often say it? | [dʌz] [ʃiː] [ˈɒf(ə)n] [seɪ] [ɪt]? | Она часто говорит это?
Does she need to come to this place? | [dʌz] [ʃiː] [niːd] [tuː] [kʌm] [tuː] [ðɪs] [pleɪs]? | Ей нужно прийти в это место?
Does she need to call him? | [dʌz] [ʃiː] [niːd] [tuː] [kɔːl] [hɪm]? | Ей нужно позвонить ему?
Does she need to come there? | [dʌz] [ʃiː] [niːd] [tuː] [kʌm] [ðeə]? | Ей нужно прийти туда?
Does he want to work in another place? | [dʌz] [hiː] [wɒnt] [tuː] [wɜːk] [ɪn] [əˈnʌðə] [pleɪs]? | Он хочет работать в другом месте?
Does he try to find a new job? | [dʌz] [hiː] [traɪ] [tuː] [faɪnd] [ə] [njuː] [ʤɒb]? | Он пытается найти новую работу?
Does he look for a job? | [dʌz] [hiː] [lʊk] [fɔːr] [ə] [ʤɒb]? | Он ищет работу?
Does he pay for it? | [dʌz] [hiː] [peɪ] [fɔːr] [ɪt]? | Он платит за это?
Does he hate this thing? | [dʌz] [hiː] [heɪt] [ðɪs] [θɪŋ]? | Он ненавидит эту вещь?
Does he hate it? | [dʌz] [hiː] [heɪt] [ɪt]? | Он ненавидит это?
Does she ignore it? | [dʌz] [ʃiː] [ɪgˈnɔːr] [ɪt]? | Она игнорирует это?
Does she tell him everything? | [dʌz] [ʃiː] [tɛl] [hɪm] [ˈɛvrɪθɪŋ]? | Она говорит ему всё?
Does she teach English? | [dʌz] [ʃiː] [tiːʧ] [ˈɪŋglɪʃ]? | Она преподаёт английский?
Does he live here? | [dʌz] [hiː] [lɪv] [hɪə]? | Он живёт здесь?
Does it help you? | [dʌz] [ɪt] [hɛlp] [juː]? | Это помогает тебе?
Does she think about it? | [dʌz] [ʃiː] [θɪŋk] [əˈbaʊt] [ɪt]? | Она думает об этом?
Do we have enough knowledge? | [duː] [wiː] [hæv] [ɪˈnʌf] [ˈnɒlɪʤ]? | У нас достаточно знаний?
Do we have enough practice? | [duː] [wiː] [hæv] [ɪˈnʌf] [ˈpræktɪs]? | У нас достаточно практики?
Do they do the same? | [duː] [ðeɪ] [duː] [ðə] [seɪm]? | Они делают то же самое?
Do they often discuss it? | [duː] [ðeɪ] [ˈɒf(ə)n] [dɪsˈkʌs] [ɪt]? | Они часто обсуждают это?
Do you often visit this place? | [duː] [juː] [ˈɒf(ə)n] [ˈvɪzɪt] [ðɪs] [pleɪs]? | Ты часто посещаешь это место?
Do you often go to the gym? | [duː] [juː] [ˈɒf(ə)n] [gəʊ] [tuː] [ðə] [ʤɪm]? | Ты часто ходишь в зал?
Listen to music | [ˈlɪsn] [tuː] [ˈmjuːzɪk] | Слушать музыку
Do you often go there? | [duː] [juː] [ˈɒf(ə)n] [gəʊ] [ðeə]? | Ты часто ходишь туда?
Do you often use the Internet? | [duː] [juː] [ˈɒf(ə)n] [juːz] [ði] [ˈɪntəˌnɛt]? | Ты часто используешь интернет?
Do you often listen to music? | [duː] [juː] [ˈɒf(ə)n] [ˈlɪsn] [tuː] [ˈmjuːzɪk]? | Ты часто слушаешь музыку?
Do you often do it? | [duː] [juː] [ˈɒf(ə)n] [duː] [ɪt]? | Ты часто делаешь это?
Yes, I like it | [jɛs], [aɪ] [laɪk] [ɪt] | Да, мне нравится это
No, I don't like it | [nəʊ], [aɪ] [dəʊnt] [laɪk] [ɪt] | Нет, мне не нравится это
Do you like music? | [duː] [juː] [laɪk] [ˈmjuːzɪk]? | Тебе нравится музыка?
Do you like this idea? | [duː] [juː] [laɪk] [ðɪs] [aɪˈdɪə]? | Тебе нравится эта идея?
Do you like classical music? | [duː] [juː] [laɪk] [ˈklæsɪkəl] [ˈmjuːzɪk]? | Тебе нравится классическая музыка?
Do you like it? | [duː] [juː] [laɪk] [ɪt]? | Тебе нравится это?
Do you like this channel? | [duː] [juː] [laɪk] [ðɪs] [ˈʧænl]? | Тебе нравится этот канал?
Do you like this song? | [duː] [juː] [laɪk] [ðɪs] [sɒŋ]? | Тебе нравится эта песня?
Do you need to solve this problem right now? | [duː] [juː] [niːd] [tuː] [sɒlv] [ðɪs] [ˈprɒbləm] [raɪt] [naʊ]? | Тебе нужно решить эту проблему прямо сейчас?
Do you want to understand your mistakes? | [duː] [juː] [wɒnt] [tuː] [ˌʌndəˈstænd] [jɔː] [mɪsˈteɪks]? | Ты хочешь понимать свои ошибки?
Do you want to study better? | [duː] [juː] [wɒnt] [tuː] [ˈstʌdi] [ˈbɛtə]? | Ты хочешь учиться лучше?
Do you support this decision? | [duː] [juː] [səˈpɔːt] [ðɪs] [dɪˈsɪʒən]? | Ты поддерживаешь это решение?
Do you need my advice? | [duː] [juː] [niːd] [maɪ] [ədˈvaɪs]? | Тебе нужен мой совет?
Do you need more money? | [duː] [juː] [niːd] [mɔː] [ˈmʌni]? | Тебе нужно больше денег?
Do you need help? | [duː] [juː] [niːd] [hɛlp]? | Тебе нужна помощь?
Do you know about this problem? | [duː] [juː] [nəʊ] [əˈbaʊt] [ðɪs] [ˈprɒbləm]? | Ты знаешь об этой проблеме?
Do you remember it? | [duː] [juː] [rɪˈmɛmbər] [ɪt]? | Ты помнишь это?
Do you remember everything? | [duː] [juː] [rɪˈmɛmbər] [ˈɛvrɪθɪŋ]? | Ты всё помнишь?
Do you agree with me? | [duː] [juː] [əˈgriː] [wɪð] [miː]? | Ты согласен со мной?
Do you support me? | [duː] [juː] [səˈpɔːt] [miː]? | Ты поддерживаешь меня?
Do you have a free time? | [duː] [juː] [hæv] [ə] [friː] [taɪm]? | У тебя есть свободное время?
Do you work on your mistakes? | [duː] [juː] [wɜːk] [ɒn] [jɔː] [mɪsˈteɪks]? | Ты работаешь над своими ошибками?
Do you try to improve this result? | [duː] [juː] [traɪ] [tuː] [ɪmˈpruːv] [ðɪs] [rɪˈzʌlt]? | Ты пытаешься улучшить этот результат?
Do they agree with us? | [duː] [ðeɪ] [əˈgriː] [wɪð] [ʌs]? | Они согласны с нами?
Do you understand me? | [duː] [juː] [ˌʌndəˈstænd] [miː]? | Ты понимаешь меня?
Do we show good results? | [duː] [wiː] [ʃəʊ] [gʊd] [rɪˈzʌlts]? | Мы показываем хорошие результаты?
Do you know it? | [duː] [juː] [nəʊ] [ɪt]? | Ты знаешь это?
Do you make mistakes? | [duː] [juː] [meɪk] [mɪsˈteɪks]? | Ты совершаешь ошибки?
Its profit seems so big | [ɪts] [ˈprɒfɪt] [siːmz] [səʊ] [bɪg] | Её (компании) прибыль кажется такой большой
He works very hard | [hiː] [wɜːks] [ˈvɛri] [hɑːd] | Он очень усердно работает
I don't understand it at all | [aɪ] [dəʊnt] [ˌʌndəˈstænd] [ɪt] [æt] [ɔːl] | Я вовсе не понимаю это
All people do it | [ɔːl] [ˈpiːpl] [duː] [ɪt] | Все люди делают это
He reads all the documents | [hiː] [riːdz] [ɔːl] [ðə] [ˈdɒkjʊmənts] | Он читает все документы
She has a beautiful house | [ʃiː] [hæz] [ə] [ˈbjuːtəfʊl] [haʊs] | У неё красивый дом
He has a new car | [hiː] [hæz] [ə] [njuː] [kɑː] | У него есть новая машина
She has a house | [ʃiː] [hæz] [ə] [haʊs] | У неё есть дом
He has a car | [hiː] [hæz] [ə] [kɑː] | У него есть машина
We don't have an article | [wiː] [dəʊnt] [hæv] [ən] [ˈɑːtɪkl] | Мы не имеем артикль
He wants to live in another place | [hiː] [wɒnts] [tuː] [lɪv] [ɪn] [əˈnʌðə] [pleɪs] | Он хочет жить в другом месте
She usually comes to home early | [ʃiː] [ˈjuːʒʊəli] [kʌmz] [tuː] [həʊm] [ˈɜːli] | Она обычно приходит домой рано
I need to go home | [aɪ] [niːd] [tuː] [gəʊ] [həʊm] | Мне нужно пойти домой
We often go to the cinema | [wiː] [ˈɒf(ə)n] [gəʊ] [tuː] [ðə] [ˈsɪnəmə] | Мы часто ходим в кино
He tries to find more time for English | [hiː] [traɪz] [tuː] [faɪnd] [mɔː] [taɪm] [fɔːr] [ˈɪŋglɪʃ] | Он пытается найти больше времени для английскогоо языка
I need to train my memory | [aɪ] [niːd] [tuː] [treɪn] [maɪ] [ˈmɛməri] | Мне нужно тренировать мою память
I want to train more regularly | [aɪ] [wɒnt] [tuː] [treɪn] [mɔː] [ˈrɛgjʊləli] | Я хочу тренироваться более регулярно
I want to train my memory | [aɪ] [wɒnt] [tuː] [treɪn] [maɪ] [ˈmɛməri] | Я хочу тренировать свою память
I really need to learn English as soon as possible | [aɪ] [ˈrɪəli] [niːd] [tuː] [lɜːn] [ˈɪŋglɪʃ] [æz] [suːn] [æz] [ˈpɒsəbl] | Мне на самом деле нужно выучить английский язык как можно скорее
I need to call them | [aɪ] [niːd] [tuː] [kɔːl] [ðɛm] | Мне нужно позвонить им
I need to call her | [aɪ] [niːd] [tuː] [kɔːl] [hɜː] | Мне нужно позвонить ей
I need to call him | [aɪ] [niːd] [tuː] [kɔːl] [hɪm] | Мне нужно позвонить ему
I'd like to discuss it with you | [aɪd] [laɪk] [tuː] [dɪsˈkʌs] [ɪt] [wɪð] [juː] | Я хотел бы обсудить это с тобой
I'd like to know more English words | [aɪd] [laɪk] [tuː] [nəʊ] [mɔːr] [ˈɪŋglɪʃ] [wɜːdz] | Я хотел бы знать больше английских слов
I also like this playlist | [aɪ] [ˈɔːlsəʊ] [laɪk] [ðɪs] [ˈpleɪˌlɪst] | Мне также нравится этот плейлист
I really like this channel | [aɪ] [ˈrɪəli] [laɪk] [ðɪs] [ˈʧænl] | Мне действительно нравится этот канал
Her boyfriend doesn't know about this problem | [hɜː] [ˈbɔɪˌfrɛnd] [dʌznt] [nəʊ] [əˈbaʊt] [ðɪs] [ˈprɒbləm] | Её парень не знает об этой проблеме
His girlfriend doesn't feel happy | [hɪz] [ˈgɜːlˌfrɛnd] [dʌznt] [fiːl] [ˈhæpi] | Его девушка не чувствует себя счастливой
Our teachers don't explain it | [ˈaʊə] [ˈtiːʧəz] [dəʊnt] [ɪksˈpleɪn] [ɪt] | Наши учителя не объясняют это
His girlfriend knows everything | [hɪz] [ˈgɜːlˌfrɛnd] [nəʊz] [ˈɛvrɪθɪŋ] | Его девушка всё знает
It doesn't motivate me | [ɪt] [dʌznt] [ˈməʊtɪveɪt] [miː] | Это не мотивирует меня
He doesn't speak Spanish | [hiː] [dʌznt] [spiːk] [ˈspænɪʃ] | Он не говорит по-испански
She doesn't tell me these things | [ʃiː] [dʌznt] [tɛl] [miː] [ðiːz] [θɪŋz] | Она не говорит мне эти вещи
They don't believe him | [ðeɪ] [dəʊnt] [bɪˈliːv] [hɪm] | Они не верят ему
You don't understand us | [juː] [dəʊnt] [ˌʌndəˈstænd] [ʌs] | Ты не понимаешь нас
We don't have any questions | [wiː] [dəʊnt] [hæv] [ˈɛni] [ˈkwɛsʧənz] | У нас нет каких-либо вопросов
I don't order food there | [aɪ] [dəʊnt] [ˈɔːdə] [fuːd] [ðeə] | Я не заказываю еду там
She teaches Spanish | [ʃiː] [ˈtiːʧɪz] [ˈspænɪʃ] | Она преподаёт испанский
He has an interesting idea | [hiː] [hæz] [ən] [ˈɪntrɪstɪŋ] [aɪˈdɪə] | У него есть интересная идея
He has so many problems | [hiː] [hæz] [səʊ] [ˈmɛni] [ˈprɒbləmz] | У него так много проблем
She goes to work | [ʃiː] [gəʊz] [tuː] [wɜːk] | Она ходит на работу
He often goes to the cinema | [hiː] [ˈɒf(ə)n] [gəʊz] [tuː] [ðə] [ˈsɪnəmə] | Он часто ходит в кино
It happens from time to time | [ɪt] [ˈhæpənz] [frɒm] [taɪm] [tuː] [taɪm] | Это происходит время от времени
He always pays for her | [hiː] [ˈɔːlweɪz] [peɪz] [fɔː] [hɜː] | Он всегда платит за неё
They live in another country | [ðeɪ] [lɪv] [ɪn] [əˈnʌðə] [ˈkʌntri] | Они живут в другой стране
You know it better | [juː] [nəʊ] [ɪt] [ˈbɛtə] | Ты знаешь это лучше
We support you | [wiː] [səˈpɔːt] [juː] | Мы поддерживаем тебя
Your mother needs to work less | [jɔː] [ˈmʌðə] [niːdz] [tuː] [wɜːk] [lɛs] | Твоей маме нужно работать меньше
My friend needs your advice | [maɪ] [frɛnd] [niːdz] [jɔːr] [ədˈvaɪs] | Моему другу нужен твой совет
My friend needs your help | [maɪ] [frɛnd] [niːdz] [jɔː] [hɛlp] | Моему другу нужна твоя помощь
I need to speak English without any mistakes at all | [aɪ] [niːd] [tuː] [spiːk] [ˈɪŋglɪʃ] [wɪˈðaʊt] [ˈɛni] [mɪsˈteɪks] [æt] [ɔːl] | Мне нужно говорить по-английски вовсе без каких-либо ошибок
I need to speak English without mistakes | [aɪ] [niːd] [tuː] [spiːk] [ˈɪŋglɪʃ] [wɪˈðaʊt] [mɪsˈteɪks] | Мне нужно говорить по-английски без ошибок
I need to improve my English | [aɪ] [niːd] [tuː] [ɪmˈpruːv] [maɪ] [ˈɪŋglɪʃ] | Мне нужно улучшить свой английский
You need to remember it | [juː] [niːd] [tuː] [rɪˈmɛmbər] [ɪt] | Тебе нужно запомнить это
You need to remember this rule | [juː] [niːd] [tuː] [rɪˈmɛmbə] [ðɪs] [ruːl] | Тебе нужно запомнить это правило
He needs to find a good job | [hiː] [niːdz] [tuː] [faɪnd] [ə] [gʊd] [ʤɒb] | Ему нужно найти хорошую работу
She needs to correct these mistakes | [ʃiː] [niːdz] [tuː] [kəˈrɛkt] [ðiːz] [mɪsˈteɪks] | ей нужно исправить эти ошибки
I need to solve this problem | [aɪ] [niːd] [tuː] [sɒlv] [ðɪs] [ˈprɒbləm] | Мне нужно решить эту проблему
I really need English | [aɪ] [ˈrɪəli] [niːd] [ˈɪŋglɪʃ] | Мне действительно нужен английский
She needs it | [ʃiː] [niːdz] [ɪt] | Ей нужно это
I need to see her | [aɪ] [niːd] [tuː] [siː] [hɜː] | Мне нужно увидеть её
I need to correct this mistake | [aɪ] [niːd] [tuː] [kəˈrɛkt] [ðɪs] [mɪsˈteɪk] | Мне нужно исправить эту ошибку
I need to learn English | [aɪ] [niːd] [tuː] [lɜːn] [ˈɪŋglɪʃ] | Мне нужно выучить английский
I need to study harder | [aɪ] [niːd] [tuː] [ˈstʌdi] [ˈhɑːdə] | Мне нужно учиться усерднее
I need to check it | [aɪ] [niːd] [tuː] [ʧɛk] [ɪt] | Мне нужно проверить это
I need to do it | [aɪ] [niːd] [tuː] [duː] [ɪt] | Мне нужно сделать это
I need this thing | [aɪ] [niːd] [ðɪs] [θɪŋ] | Мне нужна эта вещь
I need this information | [aɪ] [niːd] [ðɪs] [ˌɪnfəˈmeɪʃən] | Мне нужна эта информация
I need it | [aɪ] [niːd] [ɪt] | Мне нужно это
I really want to make you happy | [aɪ] [ˈrɪəli] [wɒnt] [tuː] [meɪk] [juː] [ˈhæpi] | Я действительно хочу сделать вас счастливыми
She thinks money doesn't make people happy | [ʃiː] [θɪŋks] [ˈmʌni] [dʌznt] [meɪk] [ˈpiːpl] [ˈhæpi] | Она думает деньги не делают людей счастливыми
He thinks money doesn't bring people happiness | [hiː] [θɪŋks] [ˈmʌni] [dʌznt] [brɪŋ] [ˈpiːpl] [ˈhæpɪnɪs] | Он думает деньги не приносят людям счастье
Our teacher doesn't believe us | [ˈaʊə] [ˈtiːʧə] [dʌznt] [bɪˈliːv] [ʌs] | Наш учитель не верит нам
My friend and I don't call them | [maɪ] [frɛnd] [ænd] [aɪ] [dəʊnt] [kɔːl] [ðɛm] | Мы с моим другом не звоним им
My partner doesn't know him | [maɪ] [ˈpɑːtnə] [dʌznt] [nəʊ] [hɪm] | Мой партнёр не знает его
My boss doesn't see her | [maɪ] [bɒs] [dʌznt] [siː] [hɜː] | Мой босс не видит её
This person doesn't try to change his life | [ðɪs] [ˈpɜːsn] [dʌznt] [traɪ] [tuː] [ʧeɪnʤ] [hɪz] [laɪf] | Этот человек не пытается изменить свою жизнь
His parents don't feel happy | [hɪz] [ˈpeərənts] [dəʊnt] [fiːl] [ˈhæpi] | Его родители не чувствуют себя счастливыми
His daughter doesn't want to study there | [hɪz] [ˈdɔːtə] [dʌznt] [wɒnt] [tuː] [ˈstʌdi] [ðeə] | Её дочь не хочет учиться там
His son doesn't want to become a doctor | [hɪz] [sʌn] [dʌznt] [wɒnt] [tuː] [bɪˈkʌm] [ə] [ˈdɒktə] | Его сын не хочет стать доктором
My friends don't recommend this hotel | [maɪ] [frɛndz] [dəʊnt] [ˌrɛkəˈmɛnd] [ðɪs] [həʊˈtɛl] | Мои друзья не рекомендуют этот отель
My sister doesn't know this person | [maɪ] [ˈsɪstə] [dʌznt] [nəʊ] [ðɪs] [ˈpɜːsn] | Моя сестра не знает этого человека
My brother doesn't want to think about his future | [maɪ] [ˈbrʌðə] [dʌznt] [wɒnt] [tuː] [θɪŋk] [əˈbaʊt] [hɪz] [ˈfjuːʧə] | Мой брат не хочет думать о своём будущем
This method really helps | [ðɪs] [ˈmɛθəd] [ˈrɪəli] [hɛlps] | Этот метод реально помогает
That method doesn't help | [ðæt] [ˈmɛθəd] [dʌznt] [hɛlp] | Тот метод не помогает
These lessons seem very useful | [ðiːz] [ˈlɛsnz] [siːm] [ˈvɛri] [ˈjuːsfʊl] | Эти уроки кажутся очень полезными
Those lessons don't seem useful | [ðəʊz] [ˈlɛsnz] [dəʊnt] [siːm] [ˈjuːsfʊl] | Те уроки не кажутся полезными
Those things don't seem strange | [ðəʊz] [θɪŋz] [dəʊnt] [siːm] [streɪnʤ] | Те вещи не кажутся странными
That thing doesn't seem interesting | [ðæt] [θɪŋ] [dʌznt] [siːm] [ˈɪntrɪstɪŋ] | Та вещь не кажется интересной
These things don't attract me | [ðiːz] [θɪŋz] [dəʊnt] [əˈtrækt] [miː] | Эти вещи не интересуют меня
This thong doesn't interest me | [ðɪs] [θɒŋ] [dʌznt] [ˈɪntrɪst] [miː] | Эта вещь не интересует меня
It doesn't work | [ɪt] [dʌznt] [wɜːk] | Это не работает
It doesn't seem strange | [ɪt] [dʌznt] [siːm] [streɪnʤ] | Это не кажется странным
He doesn't know it | [hiː] [dʌznt] [nəʊ] [ɪt] | Он не знает это
It doesn't help me | [ɪt] [dʌznt] [hɛlp] [miː] | Это не помогает мне
She doesn't want to discuss it | [ʃiː] [dʌznt] [wɒnt] [tuː] [dɪsˈkʌs] [ɪt] | Она не хочет обсуждать это
I don't want to think about it | [aɪ] [dəʊnt] [wɒnt] [tuː] [θɪŋk] [əˈbaʊt] [ɪt] | Я не хочу думать об этом
I don't want to tell you about this problem | [aɪ] [dəʊnt] [wɒnt] [tuː] [tɛl] [juː] [əˈbaʊt] [ðɪs] [ˈprɒbləm] | Я не хочу говорить тебе об этой проблеме
I don't want to tell you this thing | [aɪ] [dəʊnt] [wɒnt] [tuː] [tɛl] [juː] [ðɪs] [θɪŋ] | Я не хочу говорить тебе эту вещь
We don't understand | [wiː] [dəʊnt] [ˌʌndəˈstænd] | Мы не понимаем
You don't try to learn English | [juː] [dəʊnt] [traɪ] [tuː] [lɜːn] [ˈɪŋglɪʃ] | Ты не пытаешься выучить английский
They don't help me | [ðeɪ] [dəʊnt] [hɛlp] [miː] | Они мне не помогают
I agree with you | [aɪ] [əˈgriː] [wɪð] [juː] | Я согласен с тобой
I disagree with you | [aɪ] [ˌdɪsəˈgriː] [wɪð] [juː] | Я не согласен с тобой
I don't like it | [aɪ] [dəʊnt] [laɪk] [ɪt] | Мне не нравится это
I don't want to study there | [aɪ] [dəʊnt] [wɒnt] [tuː] [ˈstʌdi] [ðeə] | Я не хочу учиться там
I want to discuss it | [aɪ] [wɒnt] [tuː] [dɪsˈkʌs] [ɪt] | Я хочу обсудить это
I don't want to discuss it | [aɪ] [dəʊnt] [wɒnt] [tuː] [dɪsˈkʌs] [ɪt] | Я не хочу обсуждать это
I want to do it right now | [aɪ] [wɒnt] [tuː] [duː] [ɪt] [raɪt] [naʊ] | Я хочу сделать это прямо сейчас
I don't want to do it right now | [aɪ] [dəʊnt] [wɒnt] [tuː] [duː] [ɪt] [raɪt] [naʊ] | Я не хочу делать это прямо сейчас
I want to do it later | [aɪ] [wɒnt] [tuː] [duː] [ɪt] [ˈleɪtə] | Я хочу сделать это позже
I don't want to say it | [aɪ] [dəʊnt] [wɒnt] [tuː] [seɪ] [ɪt] | Я не хочу говорить это
I'd like to become a businessman | [aɪd] [laɪk] [tuː] [bɪˈkʌm] [ə] [ˈbɪznɪsmən] | Я хотел бы стать бизнесменом
I'd like to visit this place | [aɪd] [laɪk] [tuː] [ˈvɪzɪt] [ðɪs] [pleɪs] | Я хотел бы посетить это место
I'd like to do it | [aɪd] [laɪk] [tuː] [duː] [ɪt] | Я хотел бы сделать это
I'd like to know English very well | [aɪd] [laɪk] [tuː] [nəʊ] [ˈɪŋglɪʃ] [ˈvɛri] [wɛl] | Я хотел бы знать английский очень хорошо
I'd like to drink a cup of tea | [aɪd] [laɪk] [tuː] [drɪŋk] [ə] [kʌp] [ɒv] [tiː] | Я хотел бы выпить чашку чая
I'd like a cup of tea | [aɪd] [laɪk] [ə] [kʌp] [ɒv] [tiː] | Я хотел бы чашку чая
I'd like a cup of coffee | [aɪd] [laɪk] [ə] [kʌp] [ɒv] [ˈkɒfi] | Я хотел бы чашку кофе
My friend likes this hotel | [maɪ] [frɛnd] [laɪks] [ðɪs] [həʊˈtɛl] | Моему другу нравится этот отель
He likes this dress | [hiː] [laɪks] [ðɪs] [drɛs] | Ему нравится это платье
She likes this place | [ʃiː] [laɪks] [ðɪs] [pleɪs] | Ей нравится это место
I know they like it | [aɪ] [nəʊ] [ðeɪ] [laɪk] [ɪt] | Я знаю это им нравится
I see you like it | [aɪ] [siː] [juː] [laɪk] [ɪt] | Я вижу тебе это нравится
I like this channel, too | [aɪ] [laɪk] [ðɪs] [ˈʧænl], [tuː] | Мне нравится этот канал также
I like it, too | [aɪ] [laɪk] [ɪt], [tuː] | Мне нравится это также
I also like it | [aɪ] [ˈɔːlsəʊ] [laɪk] [ɪt] | Мне также это нравится
I really like these lessons | [aɪ] [ˈrɪəli] [laɪk] [ðiːz] [ˈlɛsnz] | Мне действительно нравятся эти уроки
I really like it | [aɪ] [ˈrɪəli] [laɪk] [ɪt] | Мне действительно это нравится
I like this method | [aɪ] [laɪk] [ðɪs] [ˈmɛθəd] | Мне нравится этот метод
I like this channel | [aɪ] [laɪk] [ðɪs] [ˈʧænl] | Мне нравится этот канал
I like this playlist | [aɪ] [laɪk] [ðɪs] [ˈpleɪˌlɪst] | Мне нравится этот плейлист
I like this video | [aɪ] [laɪk] [ðɪs] [ˈvɪdɪəʊ] | Мне нравится это видео
I like this thing | [aɪ] [laɪk] [ðɪs] [θɪŋ] | Мне нравится эта вещь
I like this idea | [aɪ] [laɪk] [ðɪs] [aɪˈdɪə] | Мне нравится эта идея
I like English | [aɪ] [laɪk] [ˈɪŋglɪʃ] | Мне нравится английский
I like your lessons | [aɪ] [laɪk] [jɔː] [ˈlɛsnz] | Мне нравятся твои уроки
I like it | [aɪ] [laɪk] [ɪt] | Мне нравится это
I really want to thank you | [aɪ] [ˈrɪəli] [wɒnt] [tuː] [θæŋk] [juː] | Я действительно хочу поблагодарить тебя
My parents want to live in another place | [maɪ] [ˈpeərənts] [wɒnt] [tuː] [lɪv] [ɪn] [əˈnʌðə] [pleɪs] | Мои родители хотят жить в другом месте
I want to go abroad | [aɪ] [wɒnt] [tuː] [gəʊ] [əˈbrɔːd] | Я хочу поехать за границу
My friend wants to live abroad | [maɪ] [frɛnd] [wɒnts] [tuː] [lɪv] [əˈbrɔːd] | Мой друг хочет жить за границей
My friend wants to check it one more time | [maɪ] [frɛnd] [wɒnts] [tuː] [ʧɛk] [ɪt] [wʌn] [mɔː] [taɪm] | Мой друг хочет проверить это ещё один раз
I want to speak English fluently and correctly | [aɪ] [wɒnt] [tuː] [spiːk] [ˈɪŋglɪʃ] [ˈflu(ː)əntli] [ænd] [kəˈrɛktli] | Я хочу говорить по-английский свободно и правильно
He wants to buy this thing | [hiː] [wɒnts] [tuː] [baɪ] [ðɪs] [θɪŋ] | Он хочет купить эту вещь
